tempID	AnalyteName	CAS No.	Volatility	ABS Category	AbsID
798	Vinyl Chloride	75-01-4	V	Undefined	1
799	Warfarin	81-81-2	NV	Other Organic Chemicals	8
800	"Xylene, P-"	106-42-3	V	Undefined	1
801	"Xylene, m-"	108-38-3	V	Undefined	1
802	"Xylene, o-"	95-47-6	V	Undefined	1
803	Xylenes	1330-20-7	V	Undefined	1
804	Zinc Phosphide	1314-84-7	NV	Other metals and complexed cyanides	12
805	Zinc and Compounds	7440-66-6	NV	Other metals and complexed cyanides	12
806	Zineb	12122-67-7	NV	Other Organic Chemicals	8
807	Zirconium	7440-67-7	NV	Undefined	1
808	Beryllium Sulfate	13510-49-1	NV	Other metals and complexed cyanides	12
809	"Dichlorobenzene, 1,3-"	541-73-1	V	Undefined	1
810	Methylcyclohexane	108-87-2	V	Undefined	1
